"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","cond_pos","cond_neg","message_choice","choice_dom","choice_nondom","comp_dom_1","comp_nondom_1","attitude_dom","attitude_nondom","preference","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2","CWV_3","CWV_4","CWV_5","CWV_6","CWV_7","CWV_8","CWV_9","CWV_10","check_1","check_2","age","gender_.99_TEXT","race_5_TEXT","feedback","cond","cond_word","cond_word1","Employment_1","Employment_2","Employment_3","Employment_4","Employment_5","Employment_6","Employment_7","Employment_8","Employment_9","gender","race_1","race_2","race_3","race_4","race_5","race_6","income","edu"
117,"0","100","367","1","1","4","The employee could react positively to this message by realizing that the manager trusts them to do a good job on the task. Since there is a bonus attached to it then this means the task is important, so the employee views the manager as respecting their work if they are assigned this task.","","2","","1","","40","","6","6","0","10","20","40","60","70","80","90","100","100","7","1","1","1","5","6","7","2","5","6","5","Blue","25","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","4yearColl"
118,"0","100","552","1","1","4","The first sentence is a strong statement that acknowledges faith in the employee (You know the task at hand). A ""Do your best"" message is strong but not overbearing. Not a fan of the last sentence, but a good-natured employee who understands the stakes would still twist the message into: If you do well, you can get a bonus.","","2","","1","","40","","5","4","100","100","100","100","100","100","90","85","82","77","2","5","2","1","5","1","5","1","7","3","3","Purple","49","","","Thank you! This was interesting.","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$0-$20,000","4yearColl"
119,"0","100","589","1","1","4","","The employee might feel the manager is being mean or pushy, which could make them mad and less likely to trust them. They might think the manager only cares about getting the job done, not about helping them, which could mess up their relationship.","2","","1","","50","","4","5","30","39","53","60","75","82","90","95","98","100","5","5","5","5","5","4","4","5","4","4","5","Blue","37","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","asian","","","","","","$60,001-$80,000","4yearColl"
120,"0","100","492","1","1","4","I feel positive towards the message since they are trying to motivate and are honest. ","","2","","1","","5","","5","6","1","3","9","19","29","42","60","78","93","100","2","6","1","1","6","5","6","2","5","5","5","red","46","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","2yearColl"
121,"0","100","366","1","1","4","","The employee might think that the manager is being too demanding and bossy. The tone of the message is not very friendly.","2","","2","","35","","2","6","19","38","47","50","52","64","68","75","82","100","5","6","2","3","6","3","7","1","5","5","5","Turquoise","29","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$80,001-$100,000","4yearColl"
122,"0","100","254","1","1","4","","They might see the punishment of lo0sing the full bonus and be more discouraged. It might be better to use the carrot over the stick so to speak.","1","1","","41","","6","","4","50","57","63","67","72","76","82","87","93","100","5","6","2","3","6","3","5","2","3","5","5","purple","25","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","4yearColl"
123,"0","100","520","1","1","4","This message comes off as passive aggressive; but, there is an incentive at the end that may offset the initial harshness. The manager would most likely seen as a mean, cold person. ","","2","","1","","45","","7","6","1","1","1","1","1","1","1","25","50","100","5","3","1","2","7","5","7","1","5","5","5","Green","29","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","PHD"
124,"0","100","486","1","1","4","","It is not an encouraging message.  It already puts a negative feel on the task at hand, putting negative emotions in the air.","2","","1","","25","","2","5","71","78","87","94","100","100","100","100","100","100","2","5","2","1","6","2","6","1","5","5","5","army green","46","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$120,001-$140,000","GED"
125,"0","100","427","1","1","4","","Threatening tone is to be avoided in order to encourage the employee to do well. Threatening the loss of the bonus won't motivate them and will make them more likely to put forth minimal effort or no effort at all.","2","","1","","50","","6","5","9","16","27","37","44","59","74","84","92","100","3","6","2","1","6","3","6","1","6","5","5","blue","56","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$160,001-$180,000","4yearColl"
126,"0","100","457","1","1","4","One positive I see is that the manager is being fully transparent with his team as far as the results of the task. The manager also has faith in his team to comprehend the assignment and doesn't need to repeat it.","","2","","1","","35","","3","5","0","15","20","30","40","50","60","70","80","100","5","3","3","4","5","6","7","1","6","3","5","Blue","36","","","","pos","positively","positive","Full-time","","","","","","","","","man","","black","","","","","$120,001-$140,000","MA"
127,"0","100","656","1","1","4","","this feels putative. It's a carrot and stick situation, but you're wielding the stick like a cudgel. I'd be frustrated that my boss was making me do something with a threat. ","2","","1","","45","","5","6","10","20","30","40","50","60","70","80","90","100","2","5","1","1","6","2","7","1","6","6","5","green","34","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","PHD"
128,"0","100","458","1","1","4","The first sentence of the message conveys confidence in the employee and their knowledge. They could believe that I think that they are capable and knowledgeable about the task.","","1","1","","40","","4","","6","3","11","25","45","64","85","93","95","98","100","3","3","1","2","5","5","7","1","4","5","5","yellow","35","","","none","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$100,001-$120,000","PHD"
129,"0","100","524","1","1","4","They might have a positive thought or feeling if they want to earn the bonus and also more so if they want to impress their manager","","2","","2","","24","","2","6","2","2","2","2","2","2","2","2","2","2","4","4","1","1","4","3","6","1","5","5","5","Blue","48","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$20,001-$40,000","GED"
130,"0","100","552","1","1","4","The message is motivating. It feels like the manager wants the employee to take action and be successful at the task at hand. The manager seems invested in the employee's performance and success.","","2","","1","","30","","2","4","25","40","55","75","80","85","90","95","100","100","2","7","1","1","6","2","7","1","6","7","5","purple","43","","","","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$60,001-$80,000","MA"
131,"0","100","482","1","1","4","","The last sentence of the message could be seen as being kind of infantilizing, as I read it as something a parent would say to explain consequences to their child. You could take out the ""and do it well"" and replace it with ""and select the correct answers"" to improve it.","1","1","","35","","3","","4","10","20","30","40","50","60","70","80","90","100","5","6","2","2","7","2","6","1","5","5","5","orange","28","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$60,001-$80,000","4yearColl"
132,"0","100","318","1","1","4","","You may have negative thoughts and feelings while choosing the shape. You should just stay calm and continue to work on the task.","1","1","","36","","5","","4","14","24","48","64","81","92","97","98","100","100","2","5","2","5","6","2","2","2","6","6","5","Green","26","","","","neg","negatively","negative","","","","Unemployed","","","","","","man","","","white","","","","$160,001-$180,000","GED"
133,"0","100","226","1","1","4","","It sounds threatening and unempathetic towards the employee.","2","","2","","31","","2","6","63","46","37","23","13","6","3","3","2","2","5","4","2","3","6","4","5","3","3","3","5","Purple","39","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$140,001-$160,000","2yearColl"
134,"0","100","455","1","1","4","The employee might appreciate the manager's directness and clear communication regarding expectations and consequences, fostering a sense of transparency.","","2","","1","","35","","4","5","77","71","62","55","49","43","34","25","19","13","4","6","2","2","3","6","6","5","6","6","5","blue","40","","","","pos","positively","positive","Full-time","","","","","","","","","man","","black","","hispanic","","","$60,001-$80,000","GED"
135,"0","100","602","1","1","4","If the manager knows them well and understands how they respond to this type of message, it might be a positive message for them. The manager is encouraging them to do their best, and reminding them that the goal is to get the full bonus.","","2","","2","","30","","2","6","10","20","30","40","50","60","70","80","90","100","1","7","1","1","7","4","7","1","6","5","5","teal","52","","","","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$40,001-$60,000","MA"
136,"0","100","333","1","1","4","Knowing that getting the full bonus depends on performance may inspire the employee to try their best.","","1","1","","41","","5","","4","20","28","36","47","61","74","100","100","100","100","2","5","1","1","7","5","7","1","3","4","5","blue","46","","","","pos","positively","positive","","Part-time","","","","","","","","man","","","white","","","","$40,001-$60,000","GED"
137,"0","100","304","1","1","4","","Well, I don't think anyone likes to be threatened so they would not appreciate this message and would have a bad opinion of me.","2","","1","","40","","2","6","100","100","100","100","100","100","100","100","100","100","2","7","1","1","4","2","6","1","5","5","5","blue","45","","","no other comments","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","MA"
138,"0","100","464","1","1","4","They would fully understand that if they do a good job, they would be able to get the $1 bonus.","","1","1","","50","","6","","5","50","60","65","70","75","80","85","90","95","100","2","6","1","1","7","1","6","1","6","6","5","red","38","","","","pos","positively","positive","","Part-time","","","","","","","","man","","","white","","","","$40,001-$60,000","4yearColl"
139,"0","100","643","1","1","4","The employee will hear bonus and of course additional money would make anyone feel positive about a task. The message also feels like there is confidence in the employee and that too would have positive feelings ","","1","1","","45","","5","","4","1","5","10","15","20","25","35","50","70","100","3","5","2","2","6","3","4","1","5","5","5","green","29","","","","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$40,001-$60,000","GED"
140,"0","100","523","1","1","4","","Phrasing it in this way will make the employee feel like they don’t have a choice in the matter. It also kind of threatens a punishment if the job is not “well done”. ","2","","2","","20","","1","6","100","100","100","100","100","100","100","100","100","100","4","7","1","1","7","5","7","1","7","7","5","Red","42","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","GED"
141,"0","100","458","1","1","4","The employee might appreciate the manager's clear expectations and motivational push, feelign that the manager believes in their ability to succeed and values their effort enough to tie it to a tangible reward. this could foster a sense of trust in the manager's directness and investment in their performance, strengthening their workign relationship.","","1","1","","35","","6","","5","13","17","10","12","60","68","73","79","66","63","5","5","5","5","5","5","5","5","5","5","5","blue","41","","","","pos","positively","positive","","Part-time","","","","","","","","man","","","","hispanic","","","$0-$20,000","GED"
142,"0","100","628","1","1","4","","The manager is so threatening and thinks I'm a child.","2","","1","","45","","2","5","5","20","25","40","50","50","75","75","90","100","5","7","1","2","6","5","6","1","5","5","5","Blue","55","","","","neg","negatively","negative","","Part-time","","","","","","","","man","","","white","hispanic","","","$60,001-$80,000","4yearColl"
143,"0","100","448","1","1","4","They would have a positive feeling knowing that if they do well they will receive more money.","","2","","2","","35","","3","4","26","49","75","80","85","89","100","100","100","100","2","4","2","2","5","4","5","3","5","3","5","Blue","44","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","GED"
144,"0","100","599","1","1","4","","They probably see it as a threat to not pay them any bonus at all if they make a single mistake.  I would have negative thoughts about this message as a result were I in their shoes.","2","","1","","50","","5","5","10","20","30","40","50","60","70","80","90","100","4","4","4","3","4","4","4","1","3","3","5","black","42","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$20,001-$40,000","4yearColl"
145,"0","100","468","1","1","4","The employee might think positively about receiving the full bonus if they do their best and they want to please the manager.","","2","","1","","35","","4","4","0","0","0","0","34","34","81","81","100","100","5","5","1","1","7","5","6","2","3","6","5","periwinkle","55","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$120,001-$140,000","MA"
146,"0","100","550","1","1","4","","The wording at the end is a little abrasive.  It sounds like a threat instead of encouragement, I would reword to be more positive.  But I also want them to know that their work does have a financial reward.","1","1","","40","","3","","4","0","10","20","30","40","50","60","70","90","100","4","5","1","1","5","5","7","1","6","5","5","blue","51","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","Over $200,000","MA"
147,"0","100","368","1","1","4","","This feels like a threat.  It doesn’t feel supportive either ","2","","1","","50","","7","6","5","10","15","20","30","40","50","60","80","100","5","4","5","7","7","7","5","7","1","2","5","Pink","48","","","None","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$60,001-$80,000","4yearColl"
148,"0","100","210","1","1","4","The employee may feel that the manager is being upfront about his expectations of how well the task should be completed.","","2","","2","","41","","3","6","9","23","39","53","66","77","87","92","93","100","3","5","2","2","6","2","5","2","6","5","5","Yellow","23","","","","pos","positively","positive","Full-time","","","","","","","","","woman","asian","","","","","","$120,001-$140,000","4yearColl"
149,"0","100","695","1","1","4","They are being incentivized to do their best on the task and have the pressure put on them.","","2","","1","","35","","3","5","5","15","20","26","40","40","44","50","60","75","3","5","2","2","6","5","6","2","4","5","5","purple","33","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$140,001-$160,000","PHD"
150,"0","100","322","1","1","4","Conveys that the person doing the task is competent enough to do the task. Also mentions the bonus which is incentivizing","","1","1","","44","","5","","5","9","14","16","42","48","56","65","77","91","100","2","6","2","3","6","3","6","3","6","5","5","Green","41","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$100,001-$120,000","4yearColl"
151,"0","100","125","1","1","4","","The message is pretty short and snippy. It isn't really encouraging, but focuses on the punishment.","2","","2","","22","","2","5","9","20","31","39","53","64","70","77","86","98","2","7","2","1","7","2","7","1","5","7","5","blue","31","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$100,001-$120,000","MA"
152,"0","100","399","1","1","4","","They would feel negatively pressured and more stressed about getting the answers correct. They might also intentionally get things wrong to spite the manager. ","2","","2","","19","","2","6","9","20","30","39","50","60","70","79","91","100","5","3","5","4","5","5","3","5","5","4","5","Blue","31","","","","neg","negatively","negative","Full-time","","","","","","","","","man","asian","","","","","","$20,001-$40,000","MA"
153,"0","100","250","1","1","4","","This message has the potential to make them feel pressured or shamed. That might be effective motivation for some people, but I believe that for most it will stress them out and make them feel bad about themselves and put strain on our relationship. I don't want them to feel that they're letting me down.","2","","1","","35","","3","4","50","55","60","65","70","75","85","90","95","100","4","6","1","4","6","2","5","1","4","5","5","Green","34","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$20,001-$40,000","4yearColl"
154,"0","100","397","1","1","4","This message is encouraging in the sense that the manager is encouraging the employee to do the absolute best","","2","","1","","40","","5","5","0","0","0","0","5","12","24","35","61","80","5","5","3","2","6","5","5","1","2","6","5","black","31","","","","pos","positively","positive","Full-time","","","","","","","","","man","asian","","","","","","Over $200,000","MA"
155,"0","100","635","1","1","4","","Because in this message I am not encouraging the. I am using a threat to withhold their bonus if they do not perform well.","2","","2","","35","","2","6","50","50","50","50","50","75","75","80","100","100","4","5","2","2","5","5","6","2","4","4","5","Blue","64","","","Nothing to add.","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$0-$20,000","GED"
156,"0","100","400","1","1","4","This statement might be encouraging the person to score the most points to earn maximum bonus.","","2","","1","","45","","2","5","50","50","50","50","50","100","100","100","100","100","3","5","2","2","6","2","5","3","5","5","5","white","38","","","","pos","positively","positive","Full-time","","","","","","","","","man","asian","","","","","","$100,001-$120,000","PHD"
157,"0","100","481","1","1","4","","The first part of the message is fine, but the threatening nature of the third sentence does not sit well with me. The employee may feel pressured and unduly anxious while trying to complete the task. ","2","","1","","40","","5","6","30","30","40","40","50","60","75","100","100","100","1","6","2","2","6","1","5","1","6","6","5","grey","52","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","MA"
158,"0","100","200","1","1","4","It reminds them their bonus is at risk and will be motivating to them.  They also will see their boss and serious and not want to disappoint them.","","2","","1","","36","","2","6","50","50","50","50","75","75","75","75","100","100","2","7","1","2","7","1","7","1","5","6","5","Gray","40","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$100,001-$120,000","4yearColl"
159,"0","100","665","1","1","4","","The message sounds authoritative and threatening. Making an employee feel included and supported is the best way to get the most work from an employee. Comments like 'you will not get the full bonus"" are rather not encouraging.","2","","2","","30","","1","6","5","10","30","40","45","50","60","70","75","90","5","2","2","1","6","5","7","1","6","5","5","White","24","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","black","","","","","$80,001-$100,000","4yearColl"
160,"0","100","400","1","1","4","I think the employee may react positively to the idea of doing their absolute best during the round. I think the employee may think that the manager believes in them. ","","2","","2","","25","","3","6","10","10","30","60","60","90","90","100","100","100","3","5","3","4","4","4","5","2","3","4","5","Green","29","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","black","","","","","$80,001-$100,000","MA"
161,"0","100","330","1","1","4","","The tone set makes them feel like they'll disappoint their manager by not getting the full bonus. The employee won't feel like they're doing something right, just avoiding doing something wrong ","2","","2","","50","","1","6","20","25","25","25","50","65","75","92","91","100","5","5","1","5","6","5","2","2","6","6","5","Blue","27","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$60,001-$80,000","4yearColl"
162,"0","100","305","1","1","4","","It is aggressive and judgmental and somewhat threatening.  They might feel like I'm being rude.","2","","1","","40","","5","4","100","100","100","100","100","100","100","100","100","100","2","6","2","2","7","2","6","1","4","6","5","Teal","37","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$0-$20,000","4yearColl"
163,"0","100","289","1","1","4","This seems like a more personal response compared to the other one which seems more robotic and generic","","1","1","","40","","6","","5","3","8","13","18","22","28","33","38","43","48","4","2","2","2","6","3","6","2","5","2","5","Yellow","23","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$60,001-$80,000","4yearColl"
164,"0","100","521","1","1","4","","This message sounds intimidating and stressful. Its worded as more of an order and threatens to take away bonus pay if the employee makes a mistake, it's not at all encouraging. ","2","","1","","42","","6","6","10","20","30","40","50","60","70","80","90","100","3","5","2","2","5","3","6","2","5","5","5","red","45","","","","neg","negatively","negative","","","","","","","Homemaker","","","woman","","","white","","","","$60,001-$80,000","GED"
165,"0","100","361","1","1","4","","The message above seems pretty passive aggressive. As an employee I would not want to hear that, and as a manager I would not say that because it seems rude.","2","","1","","35","","6","4","10","20","30","40","50","60","70","80","90","100","3","7","2","2","6","2","6","1","7","6","5","Purple","19","","","","neg","negatively","negative","","","","","","","","Student","","man","","","","hispanic","","","$20,001-$40,000","GED"
166,"0","100","461","1","1","4","","I can see it being negative, because of the pressure of not receiving a bonus if they don't complete the task. I think if the employees are more relax they won't be too stress to reach an acceptable outcome.","2","","1","","35","","3","4","100","100","100","100","100","100","100","100","100","51","5","3","2","2","7","5","6","1","6","5","5","black","42","","","","neg","negatively","negative","Full-time","","","","","","","","","man","asian","","","","","","$100,001-$120,000","2yearColl"
167,"0","100","441","1","1","4","It explains the consequences and tries to get the employee excited about it. It encourages to win the bonus. ","","2","","1","","39","","5","5","0","5","10","25","30","50","55","60","65","100","3","7","1","2","7","1","6","1","5","5","5","Blue","47","","","Thank you ","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$60,001-$80,000","GED"
168,"0","100","527","1","1","4","","there is an explicit negative threat that would offend many workers","2","","2","","0","","2","6","10","20","30","40","50","60","70","80","90","100","3","5","3","3","5","3","5","3","5","4","5","blue","58","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","4yearColl"
169,"0","100","338","1","1","4","This message is straight to the point. There is no interpretation needed so exmployees might know exactly what the point of the task is and what is at stake","","2","","1","","41","","5","5","0","10","20","30","40","50","60","70","80","100","5","6","1","1","7","4","6","1","4","5","5","blue","28","","","","pos","positively","positive","","Part-time","","","","","","Student","","woman","","","white","","","","$100,001-$120,000","MA"
170,"0","100","398","1","1","4","The pressure to absolutely do your best and not accept any other outcomes creates a sense of unnecessary pressure on the employee to not make any mistakes. Mistakes are how we learn and grow, and to try to create a culture that avoids that is not conductive towards growth and development.","","2","","1","","41","","2","4","20","31","40","51","59","69","79","86","92","100","6","7","3","5","7","3","7","3","6","6","5","Blue","32","","Middle Eastern","","pos","positively","positive","Full-time","","","","","","","","","man","","","","",NA,"","$140,001-$160,000","4yearColl"
171,"0","100","645","1","1","4","","If I were an employee a message like this world actually discourage me, I'd feel pressured\uncomfortable about performing by my manager. ","2","","2","","40","","3","6","10","20","30","40","50","60","70","80","90","100","3","6","1","2","7","3","7","2","5","5","5","Blue","60","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$100,001-$120,000","4yearColl"
172,"0","100","646","1","1","4","","The employee might feel that I was telling them to do well even if they are not going to get a bonus.  They might feel as though they are being cheated.","2","","2","","40","","2","5","9","10","11","12","20","20","30","40","40","50","2","5","1","3","7","3","7","1","7","7","5","blue","77","","","","neg","negatively","negative","","Part-time","","","","","","","","man","","","white","","","","$120,001-$140,000","PHD"
173,"0","100","415","1","1","4","They may feel positive about the potential for getting the full bonus. They may feel like there is a no nonsense approach from the manager.","","2","","1","","30","","3","6","20","20","20","20","90","90","100","100","100","100","1","6","1","1","7","3","6","1","5","6","5","Orange","35","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$160,001-$180,000","4yearColl"
174,"0","100","841","1","1","4","I do not think the message the manage sent was a very encouraging one. I feel that the employee will be a bit taken aback by it's gruff nature. The only good thing I think might come out of this is the manager might want the employee to be fired up and really want to impress the employer","","2","","1","","25","","1","6","5","10","15","20","25","30","35","40","45","50","1","7","1","1","7","4","7","1","6","4","5","green","59","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$60,001-$80,000","2yearColl"
175,"0","100","363","1","1","4","The employee would have a negative reaction to this message because it would put him/her under pressure.","","2","","2","","19","","1","6","25","41","46","53","68","81","92","93","92","97","3","2","3","3","3","3","2","3","2","3","5","red","33","","","why was I asked for my favorite color","pos","positively","positive","Full-time","","","","","","","","","woman","","black","","","","","$120,001-$140,000","4yearColl"
176,"0","100","352","1","1","4","The employee would have a positive reaction to the message because they want to get into the task and get a full bonus.","","2","","1","","50","","7","6","5","10","15","20","25","30","35","40","45","50","5","4","4","2","5","5","5","2","6","5","5","blue","42","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","GED"
177,"0","100","659","1","1","4","","This message focuses on the negative and is very severe-sounding. ","2","","1","","26","","5","6","100","100","100","100","100","100","100","100","100","100","3","6","1","1","6","3","6","1","5","5","5","blue","42","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$100,001-$120,000","2yearColl"
178,"0","100","757","1","1","4","","It’s time to get in there and do your absolute best can be worded “ try to do your best so you can get the full bonus! “  the original sentence isn’t very enthusiastic or doesn’t get me excited about the bonus. ","2","","1","","35","","3","5","5","10","15","20","25","35","45","65","75","100","5","5","1","1","6","3","6","1","6","5","5","Blue","52","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$40,001-$60,000","2yearColl"
179,"0","100","30","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","neg","negatively","negative","","","","","","","","","","","","","","","","","",""
180,"0","100","506","1","1","4","The employ would be positively motivated so they could work hard for the bonus knowing it was on the line.  It also positively motivates them by telling them they already understand the task.","","2","","1","","30","","3","6","5","12","22","32","42","52","62","80","90","100","2","1","1","1","6","1","7","1","7","7","5","Green","43","","","","pos","positively","positive","","Part-time","","","","","","","","man","","","white","","","","$40,001-$60,000","4yearColl"
181,"0","100","471","1","1","4","","It has a feel of being very cold and direct. It will give the employee the feeling of being left alone without the managers support. ","2","","2","","25","","1","6","5","20","30","40","50","60","70","80","90","100","5","5","1","2","6","5","7","1","6","4","5","black","51","","","Not applicable","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","2yearColl"
182,"0","100","644","1","1","4","","It seems very straightforward, but it could also come across as cold which could make the employee feel under pressure. ","2","","1","","41","","6","6","25","25","30","50","75","75","100","100","100","100","1","6","1","1","5","4","7","1","6","6","5","Orange ","24","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$80,001-$100,000","GED"
183,"0","100","809","1","1","4","","It sounds like a threat so everyone has negative thought about it.","2","","2","","28","","2","6","39","50","44","46","47","54","60","60","60","60","2","5","4","2","6","5","5","2","5","4","5","white","27","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","black","","","","","$40,001-$60,000","4yearColl"
184,"0","100","293","1","1","4","","They might have a negative attitude towards the manager because it sounds aggressive and not supportive at all. It sounds as if an ultimatum is being given.","2","","2","","15","","1","6","0","10","15","20","25","30","35","40","45","50","4","5","1","2","6","4","4","1","4","2","5","red","41","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","","hispanic","","","$60,001-$80,000","4yearColl"
185,"0","100","294","1","1","4","Let's do our best and go for the best bonus we can and share it with the entire group","","2","","1","","45","","6","5","100","100","100","100","100","100","100","100","100","100","4","5","2","3","6","3","6","2","6","5","5","blue","32","","","","pos","positively","positive","Full-time","","","","","","","","","man","asian","","","","","","Over $200,000","4yearColl"
186,"0","100","859","1","1","4","","They might think I am being too harsh and only focused on the result and not how they're feeling. They could also feel like i don't trust them enough to do their work well","2","","1","","35","","4","5","100","90","75","65","85","76","79","73","79","88","2","4","5","6","7","7","6","4","7","6","5","Purple","28","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$60,001-$80,000","4yearColl"
187,"0","100","606","1","1","4","The manager is encouraging and wants me to get the highest bonus possible.","","1","1","","47","","6","","5","0","5","10","16","20","28","32","50","72","92","3","5","1","1","6","2","6","1","6","5","5","Blue","67","","","","pos","positively","positive","","","","","Retired","","","","","man","","","white","","","","$60,001-$80,000","4yearColl"
188,"0","100","233","1","1","4","The employee might feel positively because the manager is emphasizing the possibility of a bonus, and not basing doing well on something unrelated to financial gain. ","","1","1","","48","","5","","5","100","100","100","100","100","100","100","100","100","100","1","7","1","2","6","1","6","1","3","3","5","green","25","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","Over $200,000","GED"
189,"0","100","329","1","1","4","This choice implies that I as manager, believe my employee can do well on this task. Employees like compliments","","2","","1","","30","","5","6","9","26","32","41","48","53","59","64","69","96","1","5","1","6","6","2","6","2","4","5","5","blue","57","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$80,001-$100,000","4yearColl"
190,"0","100","497","1","1","4","","The employee might think he has to try even harder then he ever has and over work himself.","2","","2","","10","","2","6","5","28","31","39","34","57","78","93","94","100","5","6","5","7","7","6","7","1","7","3","5","14285733","18","","","Good simple study","neg","negatively","negative","","Part-time","","","","","","","","man","","black","","","","","$100,001-$120,000","GED"
191,"0","100","725","1","1","4","","The employee might feel pressured and micromanaged by the manager tone which comes off as demanding and transactional rather that supportive this could lead them to feel understand as if their effort is only being measured by the bonus outcome and not their overll contribution or well- being.","2","","1","","34","","7","6","51","67","43","74","51","52","54","78","54","77","4","5","6","6","5","4","4","6","6","7","5","blue","33","","","had a great study","neg","negatively","negative","Full-time","","","","","","","","","man","","black","","","","","$60,001-$80,000","4yearColl"
192,"0","100","617","1","1","4","The might respect my candidness if I send this kind of message.  The message is straightforward and to the point.  No sugar coating.","","1","2","","40","","4","","4","10","20","30","40","50","60","71","80","89","100","4","4","3","3","6","4","5","3","6","2","5","Green","39","","","","pos","positively","positive","","Part-time","","","","","","","","man","","","white","","","","$40,001-$60,000","GED"
193,"0","100","525","1","1","4","it sounds like a coach pumping him up so that will give the courage  to complete the job ","","2","","1","","37","","4","6","5","10","15","20","25","30","35","40","45","50","1","6","1","1","7","2","7","1","7","6","5","blue","38","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","black","","","","","$20,001-$40,000","GED"
194,"0","100","467","1","1","4","The manager is encouraging me to do my best. My manager wants me to earn a bonus for my hard work.  My manager believes I can complete the task.","","2","","1","","40","","6","6","10","20","30","40","50","60","70","80","90","100","5","5","4","4","7","5","7","1","6","6","5","green","46","","middle eastern","","pos","positively","positive","Full-time","","","","","","","","","woman","","","","",NA,"","$100,001-$120,000","MA"
195,"0","100","316","1","1","4","It's supportive and competitive sounding, to say ""do your absolute best"" is a good way to encourage someone to work hard. ","","1","1","","36","","7","","6","100","100","85","81","89","78","79","82","94","100","7","3","5","4","5","7","5","3","7","3","5","Green","26","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","","hispanic","","","$40,001-$60,000","4yearColl"
